  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
  0.048, -0.510, -0.023, -0.000,  0.008, -0.005, -0.002
  0.044, -0.867, -0.038, -0.000, -0.010,  0.009, -0.002
  0.050, -1.250, -0.054,  0.000, -0.009,  0.010, -0.002
  0.048, -1.566, -0.067,  0.000,  0.004, -0.002, -0.001
  0.015, -1.852, -0.077,  0.000,  0.010, -0.010, -0.001
  0.006, -2.288, -0.095, -0.000,  0.029, -0.027, -0.001
 -0.007, -2.686, -0.111, -0.001,  0.029, -0.030, -0.002
 -0.010, -3.141, -0.130, -0.001,  0.038, -0.037, -0.002
 -0.003, -3.641, -0.151, -0.002,  0.055, -0.055, -0.002
 -0.007, -4.107, -0.170, -0.004,  0.063, -0.062, -0.002
 -0.012, -4.510, -0.187, -0.005,  0.058, -0.059, -0.002
 -0.018, -4.882, -0.202, -0.005,  0.058, -0.056, -0.001
 -0.029, -5.198, -0.214, -0.006,  0.051, -0.049, -0.001
 -0.041, -5.457, -0.225, -0.007,  0.043, -0.041, -0.001
 -0.049, -5.741, -0.236, -0.007,  0.043, -0.041, -0.001
 -0.061, -6.076, -0.249, -0.008,  0.041, -0.039, -0.001
 -0.059, -6.515, -0.268, -0.008,  0.035, -0.029, -0.002
 -0.054, -6.959, -0.286, -0.009,  0.025, -0.023, -0.002
 -0.052, -7.447, -0.307, -0.009,  0.031, -0.029, -0.002
 -0.057, -7.949, -0.327, -0.010,  0.040, -0.039, -0.002
 -0.052, -8.522, -0.351, -0.011,  0.045, -0.044, -0.003
 -0.055, -9.089, -0.375, -0.012,  0.053, -0.053, -0.002
 -0.051, -9.628, -0.397, -0.014,  0.057, -0.057, -0.003
 -0.044,-10.259, -0.424, -0.015,  0.063, -0.062, -0.002
 -0.049,-10.807, -0.446, -0.017,  0.064, -0.063, -0.002
 -0.040,-11.340, -0.468, -0.018,  0.088, -0.079, -0.002
 -0.055,-11.746, -0.485, -0.020,  0.088, -0.079, -0.001
 -0.075,-12.001, -0.494, -0.021,  0.067, -0.064, -0.001
 -0.092,-12.239, -0.503, -0.021,  0.063, -0.060, -0.001
 -0.117,-12.476, -0.512, -0.022,  0.068, -0.063, -0.001
 -0.127,-12.778, -0.524, -0.023,  0.064, -0.059, -0.001
 -0.122,-13.174, -0.541, -0.024,  0.053, -0.047, -0.002
 -0.107,-13.691, -0.563, -0.025,  0.053, -0.048, -0.002
 -0.094,-14.268, -0.587, -0.026,  0.065, -0.060, -0.002
 -0.081,-14.910, -0.615, -0.028,  0.063, -0.059, -0.003
 -0.056,-15.725, -0.649, -0.030,  0.053, -0.048, -0.003
 -0.044,-16.502, -0.682, -0.031,  0.040, -0.035, -0.003
 -0.054,-17.190, -0.710, -0.032,  0.016, -0.008, -0.002
 -0.074,-17.669, -0.729, -0.032, -0.033,  0.044, -0.002
 -0.083,-17.975, -0.742, -0.031, -0.107,  0.118, -0.001
 -0.091,-18.234, -0.752, -0.030, -0.207,  0.219, -0.001
 -0.096,-18.515, -0.763, -0.027, -0.315,  0.329, -0.001
 -0.086,-18.823, -0.775, -0.022, -0.440,  0.454, -0.001
 -0.077,-19.151, -0.787, -0.015, -0.572,  0.588, -0.001
 -0.076,-19.512, -0.799, -0.006, -0.713,  0.726, -0.001
 -0.074,-19.905, -0.811,  0.005, -0.868,  0.884, -0.002
 -0.072,-20.207, -0.819,  0.016, -0.985,  1.003, -0.001
 -0.077,-20.437, -0.823,  0.024, -1.073,  1.094, -0.001
 -0.087,-20.623, -0.827,  0.030, -1.142,  1.166, -0.001
 -0.110,-20.813, -0.829,  0.036, -1.207,  1.233, -0.001
 -0.119,-21.079, -0.833,  0.047, -1.285,  1.313, -0.001
 -0.160,-21.332, -0.835,  0.055, -1.350,  1.382, -0.001
 -0.142,-21.929, -0.840,  0.080, -1.370,  1.407, -0.003
 -0.130,-22.598, -0.845,  0.108, -1.418,  1.454, -0.002
 -0.146,-23.067, -0.848,  0.126, -1.457,  1.493, -0.002
 -0.136,-23.599, -0.850,  0.149, -1.471,  1.507, -0.002
 -0.143,-24.138, -0.852,  0.171, -1.499,  1.535, -0.002
 -0.153,-24.574, -0.853,  0.189, -1.522,  1.559, -0.002
 -0.161,-25.051, -0.854,  0.208, -1.522,  1.560, -0.002
 -0.164,-25.615, -0.855,  0.231, -1.534,  1.573, -0.003
 -0.154,-26.222, -0.856,  0.257, -1.541,  1.577, -0.003
 -0.153,-26.789, -0.857,  0.280, -1.537,  1.578, -0.002
 -0.161,-27.294, -0.857,  0.301, -1.519,  1.562, -0.002
 -0.167,-27.743, -0.859,  0.319, -1.499,  1.544, -0.002
 -0.191,-28.101, -0.859,  0.333, -1.514,  1.559, -0.001
 -0.210,-28.430, -0.860,  0.346, -1.517,  1.562, -0.001
 -0.223,-28.789, -0.861,  0.360, -1.502,  1.548, -0.002
 -0.225,-29.328, -0.863,  0.383, -1.511,  1.556, -0.002
 -0.224,-29.875, -0.864,  0.405, -1.522,  1.566, -0.002
 -0.224,-30.411, -0.865,  0.428, -1.526,  1.569, -0.002
 -0.223,-30.914, -0.866,  0.448, -1.535,  1.577, -0.002
 -0.226,-31.392, -0.866,  0.468, -1.535,  1.579, -0.002
 -0.228,-31.913, -0.867,  0.490, -1.522,  1.565, -0.002
 -0.226,-32.466, -0.868,  0.513, -1.519,  1.559, -0.002
 -0.218,-33.029, -0.870,  0.536, -1.516,  1.561, -0.002
 -0.221,-33.594, -0.871,  0.560, -1.512,  1.558, -0.002
 -0.215,-34.265, -0.873,  0.588, -1.509,  1.557, -0.003
 -0.213,-34.972, -0.874,  0.617, -1.522,  1.569, -0.003
 -0.210,-35.620, -0.876,  0.644, -1.524,  1.573, -0.002
 -0.207,-36.268, -0.877,  0.671, -1.525,  1.571, -0.003
 -0.195,-36.873, -0.878,  0.697, -1.548,  1.592, -0.003
 -0.185,-37.433, -0.878,  0.720, -1.593,  1.636, -0.002
 -0.185,-38.008, -0.877,  0.744, -1.659,  1.702, -0.002
 -0.176,-38.602, -0.874,  0.769, -1.737,  1.784, -0.002
 -0.181,-39.092, -0.869,  0.789, -1.829,  1.879, -0.001
 -0.198,-39.420, -0.866,  0.801, -1.916,  1.969, -0.001
 -0.204,-39.734, -0.861,  0.813, -1.996,  2.050, -0.001
 -0.211,-40.043, -0.855,  0.824, -2.054,  2.112, -0.001
 -0.209,-40.457, -0.847,  0.839, -2.091,  2.152, -0.002
 -0.216,-40.807, -0.840,  0.851, -2.140,  2.201, -0.001
 -0.218,-41.160, -0.832,  0.863, -2.177,  2.242, -0.001
 -0.227,-41.451, -0.825,  0.873, -2.242,  2.303, -0.001
 -0.233,-41.726, -0.817,  0.881, -2.348,  2.408, -0.001
 -0.245,-41.998, -0.809,  0.888, -2.449,  2.512, -0.001
 -0.245,-42.316, -0.799,  0.896, -2.556,  2.616, -0.001
 -0.253,-42.708, -0.785,  0.904, -2.659,  2.723, -0.002
 -0.250,-43.126, -0.769,  0.912, -2.743,  2.811, -0.002
 -0.243,-43.556, -0.752,  0.919, -2.768,  2.847, -0.002
 -0.234,-43.989, -0.735,  0.925, -2.809,  2.886, -0.002
 -0.240,-44.387, -0.720,  0.930, -2.839,  2.916, -0.002
 -0.238,-44.895, -0.699,  0.936, -2.850,  2.932, -0.002
 -0.249,-45.297, -0.684,  0.941, -2.895,  2.975, -0.002
 -0.252,-45.717, -0.667,  0.945, -2.923,  3.002, -0.002
 -0.255,-46.192, -0.648,  0.948, -2.972,  3.048, -0.002
 -0.253,-46.729, -0.626,  0.952, -3.015,  3.092, -0.003
 -0.240,-47.431, -0.596,  0.955, -3.028,  3.107, -0.003
 -0.227,-48.211, -0.563,  0.959, -3.020,  3.102, -0.003
 -0.220,-48.996, -0.531,  0.963, -3.023,  3.106, -0.003
 -0.217,-49.918, -0.493,  0.967, -3.028,  3.109, -0.003
 -0.216,-50.811, -0.456,  0.972, -3.030,  3.116, -0.004
 -0.196,-51.821, -0.413,  0.976, -3.044,  3.128, -0.004
 -0.186,-52.783, -0.373,  0.980, -3.052,  3.133, -0.004
 -0.197,-53.674, -0.337,  0.983, -3.050,  3.131, -0.003
 -0.187,-54.549, -0.300,  0.986, -3.065, -3.136, -0.003
 -0.209,-55.299, -0.270,  0.988, -3.071, -3.126, -0.003
 -0.241,-55.992, -0.243,  0.990, -3.054,  3.139, -0.003
 -0.247,-56.675, -0.215,  0.993, -3.062, -3.135, -0.003
 -0.246,-57.332, -0.187,  0.995, -3.076, -3.120, -0.003
 -0.257,-57.894, -0.165,  0.996, -3.099, -3.091, -0.002
 -0.278,-58.327, -0.148,  0.997, -3.152, -3.040, -0.002
 -0.274,-58.736, -0.130,  0.996, -3.201, -2.993, -0.002
 -0.263,-59.175, -0.112,  0.994, -3.238, -2.955, -0.002
 -0.254,-59.672, -0.091,  0.992, -3.286, -2.905, -0.002
 -0.233,-60.261, -0.066,  0.987, -3.376, -2.818, -0.003
 -0.205,-60.935, -0.038,  0.979, -3.478, -2.711, -0.003
 -0.205,-61.574, -0.014,  0.969, -3.580, -2.608, -0.003
 -0.200,-62.152,  0.008,  0.958, -3.703, -2.480, -0.002
 -0.180,-62.720,  0.028,  0.943, -3.817, -2.367, -0.003
 -0.173,-63.312,  0.046,  0.927, -3.919, -2.264, -0.003
 -0.171,-63.914,  0.063,  0.908, -4.009, -2.165, -0.002
 -0.180,-64.314,  0.073,  0.896, -4.097, -2.069, -0.001
 -0.210,-64.528,  0.077,  0.889, -4.169, -1.988, -0.001
 -0.235,-64.684,  0.080,  0.885, -4.231, -1.914, -0.001
 -0.249,-64.894,  0.083,  0.877, -4.307, -1.843, -0.001
 -0.251,-65.210,  0.088,  0.865, -4.403, -1.761, -0.002
 -0.248,-65.746,  0.094,  0.844, -4.458, -1.705, -0.003
 -0.243,-66.380,  0.100,  0.818, -4.517, -1.645, -0.002
 -0.256,-66.922,  0.104,  0.796, -4.566, -1.593, -0.002
 -0.272,-67.374,  0.106,  0.778, -4.581, -1.575, -0.002
 -0.280,-67.841,  0.109,  0.759, -4.587, -1.571, -0.002
 -0.279,-68.459,  0.112,  0.734, -4.596, -1.558, -0.003
 -0.287,-69.074,  0.115,  0.709, -4.605, -1.548, -0.003
 -0.285,-69.816,  0.118,  0.678, -4.592, -1.557, -0.003
 -0.292,-70.573,  0.122,  0.647, -4.590, -1.563, -0.003
 -0.295,-71.199,  0.125,  0.621, -4.600, -1.552, -0.003
 -0.294,-71.875,  0.128,  0.594, -4.601, -1.547, -0.003
 -0.293,-72.625,  0.132,  0.563, -4.599, -1.552, -0.004
 -0.288,-73.425,  0.135,  0.529, -4.610, -1.540, -0.003
 -0.278,-74.223,  0.138,  0.496, -4.645, -1.504, -0.003
 -0.279,-74.950,  0.140,  0.466, -4.668, -1.479, -0.003
 -0.278,-75.609,  0.141,  0.438, -4.683, -1.466, -0.003
 -0.272,-76.200,  0.141,  0.414, -4.675, -1.473, -0.002
 -0.264,-76.825,  0.143,  0.388, -4.631, -1.509, -0.002
 -0.257,-77.398,  0.145,  0.364, -4.622, -1.520, -0.003
 -0.250,-78.010,  0.147,  0.338, -4.654, -1.493, -0.003
 -0.247,-78.681,  0.148,  0.310, -4.702, -1.446, -0.003
 -0.243,-79.382,  0.147,  0.281, -4.767, -1.381, -0.003
 -0.240,-80.027,  0.145,  0.254, -4.835, -1.311, -0.003
 -0.225,-80.619,  0.141,  0.229, -4.894, -1.251, -0.003
 -0.229,-81.184,  0.136,  0.206, -5.013, -1.119, -0.002
 -0.230,-81.670,  0.129,  0.188, -5.173, -0.964, -0.002
 -0.226,-82.128,  0.119,  0.171, -5.306, -0.826, -0.002
 -0.235,-82.590,  0.107,  0.156, -5.415, -0.715, -0.002
