  0.000,  0.000,  0.170,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
  0.012,  0.012,  0.170,  0.000,  0.000,  0.001,  0.000,  0.000,  0.000
  0.014,  0.014,  0.170,  0.000,  0.000,  0.001,  0.000,  0.000,  0.000
  0.014,  0.014,  0.170,  0.000,  0.000,  0.001,  0.000,  0.000,  0.000
  0.012,  0.012,  0.170,  0.000,  0.000, -0.000,  0.000,  0.000,  0.000
  0.009,  0.009,  0.170,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001, -0.001,  0.170,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.002, -0.002,  0.170,  0.000,  0.000,  0.002,  0.000,  0.000,  0.000
  0.017,  0.017,  0.170,  0.000,  0.000, -0.002,  0.000,  0.000,  0.000
  0.036,  0.036,  0.170,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
  0.079,  0.079,  0.170,  0.000,  0.000,  0.004,  0.000,  0.000,  0.000
  0.146,  0.146,  0.170,  0.000,  0.000,  0.003,  0.000,  0.000,  0.000
  0.192,  0.192,  0.170,  0.000,  0.000, -0.001,  0.000,  0.000,  0.000
  0.174,  0.277,  0.172, -0.000, -0.023,  0.007,  0.001,  0.000,  0.000
  0.091,  0.544,  0.187, -0.000, -0.022,  0.006,  0.002,  0.000,  0.000
  0.040,  0.643,  0.188, -0.000,  0.003, -0.023, -0.000,  0.000,  0.000
  0.023,  0.527,  0.184, -0.001,  0.006, -0.025, -0.001,  0.000,  0.000
  0.058,  0.237,  0.170, -0.000, -0.016, -0.009, -0.002,  0.000,  0.000
  0.141, -0.122,  0.152, -0.000, -0.023,  0.002, -0.001,   -nan,  0.000
  0.176, -0.241,  0.145,  0.000, -0.018,  0.004,  0.001,   -nan,  0.000
  0.156, -0.072,  0.153, -0.000, -0.019,  0.005,  0.001,   -nan,  0.000
  0.083,  0.224,  0.162, -0.000, -0.010, -0.004,  0.002,  0.000,  0.000
  0.005,  0.432,  0.174, -0.000, -0.006, -0.010,  0.001,  0.000,  0.000
  0.012,  0.368,  0.171, -0.000, -0.009, -0.014, -0.001,  0.000,  0.000
  0.114, -0.001,  0.152,  0.000, -0.018, -0.004, -0.002,   -nan,  0.000
  0.240, -0.270,  0.135,  0.000, -0.025,  0.012, -0.000,   -nan,  0.000
  0.303,  0.049,  0.146,  0.000, -0.022,  0.006,  0.002,   -nan,  0.000
  0.305,  0.847,  0.179, -0.001, -0.032,  0.015,  0.005,  0.000,  0.000
  0.204,  2.100,  0.236, -0.003, -0.038,  0.022,  0.007,  0.000,  0.000
 -0.015,  3.774,  0.282, -0.004,  0.004, -0.016,  0.009,  0.000,  0.000
 -0.293,  5.539,  0.368, -0.002,  0.047, -0.054,  0.008,  0.000,  0.000
 -0.489,  6.701,  0.400, -0.000,  0.050, -0.062,  0.002,  0.000,  0.000
 -0.454,  6.726,  0.399,  0.000,  0.034, -0.044, -0.001,  0.000,  0.000
 -0.312,  6.335,  0.377, -0.000, -0.018,  0.003, -0.003,  0.000,  0.000
 -0.124,  5.908,  0.351,  0.001, -0.073,  0.054, -0.002,  0.000,  0.000
 -0.023,  5.845,  0.344,  0.002, -0.087,  0.077,  0.001,  0.000,  0.000
  0.019,  6.144,  0.355,  0.001, -0.066,  0.054,  0.002,  0.000,  0.000
 -0.016,  6.770,  0.383, -0.000, -0.025,  0.013,  0.003,  0.000,  0.000
 -0.123,  7.513,  0.403, -0.000, -0.000, -0.010,  0.003,  0.000,  0.000
 -0.174,  7.917,  0.417, -0.000,  0.005, -0.019,  0.000,  0.000,  0.000
 -0.107,  7.840,  0.411, -0.000, -0.004, -0.018, -0.001,  0.000,  0.000
  0.002,  7.763,  0.404, -0.000, -0.019, -0.004, -0.001,  0.000,  0.000
  0.096,  7.809,  0.402, -0.000, -0.031,  0.019,  0.000,  0.000,  0.000
  0.134,  8.071,  0.411, -0.000, -0.031,  0.015,  0.002,  0.000,  0.000
  0.101,  8.629,  0.436, -0.001, -0.026,  0.010,  0.003,  0.000,  0.000
  0.023,  9.417,  0.472, -0.002, -0.036,  0.016,  0.004,  0.000,  0.000
 -0.017, 10.288,  0.511, -0.003, -0.031,  0.013,  0.004,  0.000,  0.000
 -0.102, 11.269,  0.538, -0.004, -0.013, -0.006,  0.004,  0.000,  0.000
 -0.139, 11.860,  0.565, -0.004,  0.008, -0.026,  0.001,  0.000,  0.000
 -0.075, 11.680,  0.555, -0.004, -0.021, -0.005, -0.002,  0.000,  0.000
  0.048, 11.129,  0.526, -0.003, -0.070,  0.042, -0.003,  0.000,  0.000
  0.142, 10.736,  0.506, -0.001, -0.083,  0.050, -0.001,  0.000,  0.000
  0.189, 10.735,  0.504, -0.001, -0.050,  0.033,  0.000,  0.000,  0.000
  0.191, 11.038,  0.516, -0.001, -0.040,  0.022,  0.002,  0.000,  0.000
  0.149, 11.497,  0.538, -0.002, -0.045,  0.026,  0.002,  0.000,  0.000
  0.120, 11.997,  0.560, -0.003, -0.049,  0.029,  0.002,  0.000,  0.000
  0.096, 12.634,  0.588, -0.004, -0.026,  0.008,  0.003,  0.000,  0.000
  0.044, 13.439,  0.610, -0.005, -0.004, -0.012,  0.004,  0.000,  0.000
 -0.064, 14.220,  0.647, -0.005, -0.003, -0.022,  0.004,  0.000,  0.000
 -0.116, 14.367,  0.656, -0.005, -0.000, -0.025, -0.001,  0.000,  0.000
 -0.088, 13.948,  0.637, -0.005, -0.009, -0.015, -0.003,  0.000,  0.000
  0.026, 13.305,  0.605, -0.004, -0.038,  0.013, -0.003,  0.000,  0.000
  0.147, 12.794,  0.578, -0.003, -0.057,  0.034, -0.001,  0.000,  0.000
  0.168, 12.893,  0.581, -0.003, -0.057,  0.036,  0.001,  0.000,  0.000
  0.148, 13.267,  0.598, -0.004, -0.038,  0.019,  0.002,  0.000,  0.000
  0.120, 13.720,  0.618, -0.004, -0.025,  0.004,  0.002,  0.000,  0.000
  0.083, 14.129,  0.630, -0.004,  0.000, -0.021,  0.002,  0.000,  0.000
  0.034, 14.430,  0.645, -0.004,  0.025, -0.033,  0.001,  0.000,  0.000
 -0.028, 14.486,  0.650, -0.004,  0.013, -0.036, -0.000,  0.000,  0.000
 -0.009, 14.012,  0.629, -0.005,  0.028, -0.055, -0.004,  0.000,  0.000
  0.209, 13.213,  0.586, -0.005,  0.009, -0.032, -0.004,  0.000,  0.000
  0.279, 13.347,  0.589, -0.005, -0.006, -0.017,  0.002,  0.000,  0.000
  0.252, 13.897,  0.614, -0.005,  0.004, -0.025,  0.003,  0.000,  0.000
  0.173, 14.777,  0.654, -0.006, -0.018, -0.007,  0.004,  0.000,  0.000
  0.073, 15.807,  0.702, -0.006,  0.008, -0.028,  0.005,  0.000,  0.000
 -0.075, 16.939,  0.756, -0.005,  0.030, -0.050,  0.005,  0.000,  0.000
 -0.215, 17.797,  0.798, -0.003,  0.031, -0.057,  0.002,  0.000,  0.000
 -0.214, 17.788,  0.797, -0.003,  0.019, -0.046, -0.001,  0.000,  0.000
 -0.138, 17.409,  0.778, -0.003, -0.019, -0.012, -0.002,  0.000,  0.000
 -0.024, 16.929,  0.753, -0.002, -0.060,  0.026, -0.002,  0.000,  0.000
  0.057, 16.799,  0.744, -0.002, -0.060,  0.041,  0.000,  0.000,  0.000
  0.126, 16.995,  0.750, -0.002, -0.085,  0.063,  0.001,  0.000,  0.000
